NOC,Sport,Sport_Medal_Count,Total_Country_Medals,Specialization_Score
ROU,Gymnastics,69,304,0.22697368421052633
RSA,Athletics,28,88,0.3181818181818182
RUS,Athletics,77,584,0.13184931506849315
SCG,Shooting,4,9,0.4444444444444444
SEN,Athletics,1,1,1.0
SGP,Table Tennis,3,5,0.6
SLO,Alpine Skiing,7,38,0.18421052631578946
SRB,Water Polo,3,15,0.2
SRI,Athletics,2,2,1.0
SUD,Athletics,1,1,1.0
SUI,Alpine Skiing,58,346,0.1676300578034682
SUR,Swimming,2,2,1.0
SVK,Canoeing,18,33,0.5454545454545454
SWE,Athletics,92,657,0.1400304414003044
SYR,Wrestling,1,3,0.3333333333333333
TAN,Athletics,2,2,1.0
TCH,Gymnastics,35,171,0.2046783625730994
TGA,Boxing,1,1,1.0
THA,Boxing,14,30,0.4666666666666667
TJK,Wrestling,1,4,0.25
TOG,Canoeing,1,1,1.0
TPE,Taekwondo,8,24,0.3333333333333333
TTO,Athletics,15,19,0.7894736842105263
TUN,Athletics,5,13,0.38461538461538464
TUR,Wrestling,63,95,0.6631578947368421
UAE,Shooting,1,2,0.5
UAR,Wrestling,1,2,0.5
UGA,Boxing,4,7,0.5714285714285714
UKR,Athletics,18,133,0.13533834586466165
URS,Athletics,193,1197,0.16123642439431912
URU,Rowing,4,10,0.4
USA,Athletics,816,2823,0.28905419766206164
UZB,Boxing,14,34,0.4117647058823529
VEN,Boxing,6,15,0.4
VIE,Shooting,2,4,0.5
WIF,Athletics,2,2,1.0
YUG,Wrestling,16,87,0.1839080459770115
ZAM,Athletics,1,2,0.5
ZIM,Swimming,7,8,0.875
